1	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1641				0	10
2	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1642				10	10
3	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1644				20	10
4	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1648				30	10
5	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1652				40	10
6	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1653				50	10
7	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1661				60	10
8	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1662				70	10
9	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1665				80	20
10	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1667				100	10
11	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1670				110	10
12	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1672				120	20
13	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1673				140	10
14	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1674				150	10
15	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1675				160	10
16	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1676				170	10
17	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1677				180	10
18	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1678				190	10
19	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1679				200	10
20	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1641 - 1680	1680				210	10
21	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1728, 1730, 1733, 1777	1728				220	2
22	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1728, 1730, 1733, 1777	1730				222	2
23	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1728, 1730, 1733, 1777	1733				224	1
24	Programmata, Ankündigungen 1641 - 1680, 1728, 1730, 1733, 1777	1728, 1730, 1733, 1777	1777				225	1
25	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1774	Winterhalbjahr	1774-Winterhalbjahr		226	16
26	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1775	Sommerhalbjahr	1775-Sommerhalbjahr		242	17
27	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1776	Winterhalbjahr	1776-Winterhalbjahr		259	16
28	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1777	Sommerhalbjahr	1777-Sommerhalbjahr		275	17
29	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1777 / 1778	Winterhalbjahr	1777 / 1778-Winterhalbjahr		292	20
30	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1779	Sommerhalbjahr	1779-Sommerhalbjahr		312	16
31	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1779	Winterhalbjahr	1779-Winterhalbjahr		328	19
32	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1780	Sommerhalbjahr	1780-Sommerhalbjahr		347	16
33	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1780	Winterhalbjahr	1780-Winterhalbjahr		363	20
34	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1781	Sommerhalbjahr	1781-Sommerhalbjahr		383	16
35	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1781	Winterhalbjahr	1781-Winterhalbjahr		399	16
36	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1782	Sommerhalbjahr	1782-Sommerhalbjahr		415	20
37	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1782	Winterhalbjahr	1782-Winterhalbjahr		435	16
38	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1783	Sommerhalbjahr	1783-Sommerhalbjahr		451	16
39	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1783	Winterhalbjahr	1783-Winterhalbjahr		467	20
40	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1784	Sommerhalbjahr	1784-Sommerhalbjahr		487	19
41	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1784	Winterhalbjahr	1784-Winterhalbjahr		506	19
42	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1785	Sommerhalbjahr	1785-Sommerhalbjahr		525	20
43	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1785	Winterhalbjahr	1785-Winterhalbjahr		545	20
44	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1786	Sommerhalbjahr	1786-Sommerhalbjahr		565	19
45	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1786	Winterhalbjahr	1786-Winterhalbjahr		584	20
46	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1787	Winterhalbjahr	1787-Winterhalbjahr		604	19
47	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1788	Sommerhalbjahr	1788-Sommerhalbjahr		623	20
48	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1788	Winterhalbjahr	1788-Winterhalbjahr		643	19
49	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1789	Sommerhalbjahr	1789-Sommerhalbjahr		662	20
50	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1789	Winterhalbjahr	1789-Winterhalbjahr		682	18
51	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1790	Sommerhalbjahr	1790-Sommerhalbjahr		700	20
52	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1790	Winterhalbjahr	1790-Winterhalbjahr		720	20
53	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1791	Sommerhalbjahr	1791-Sommerhalbjahr		740	20
54	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1791	Winterhalbjahr	1791-Winterhalbjahr		760	20
55	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1792	Sommerhalbjahr	1792-Sommerhalbjahr		780	20
56	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1792	Winterhalbjahr	1792-Winterhalbjahr		800	20
57	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1793	Sommerhalbjahr	1793-Sommerhalbjahr		820	20
58	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1794	Sommerhalbjahr	1794-Sommerhalbjahr		840	23
59	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1794	Winterhalbjahr	1794-Winterhalbjahr		863	22
60	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1795	Sommerhalbjahr	1795-Sommerhalbjahr		885	22
61	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1795	Winterhalbjahr	1795-Winterhalbjahr		907	23
62	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1796	Sommerhalbjahr	1796-Sommerhalbjahr		930	24
63	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1796	Winterhalbjahr	1796-Winterhalbjahr		954	24
64	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1797	Sommerhalbjahr	1797-Sommerhalbjahr		978	22
65	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1797	Winterhalbjahr	1797-Winterhalbjahr		1000	22
66	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1798	Sommerhalbjahr	1798-Sommerhalbjahr		1022	23
67	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1798	Winterhalbjahr	1798-Winterhalbjahr		1045	22
68	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1799	Sommerhalbjahr	1799-Sommerhalbjahr		1067	22
69	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1799	Winterhalbjahr	1799-Winterhalbjahr		1089	23
70	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1800	Sommerhalbjahr	1800-Sommerhalbjahr		1112	23
71	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1774 - 1800	1800	Winterhalbjahr	1800-Winterhalbjahr		1135	24
72	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1801	Winterhalbjahr	1801-Winterhalbjahr		1159	24
73	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1802	Sommerhalbjahr	1802-Sommerhalbjahr		1183	23
74	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1802	Winterhalbjahr	1802-Winterhalbjahr		1206	22
75	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1803	Sommerhalbjahr	1803-Sommerhalbjahr		1228	23
76	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1803	Winterhalbjahr	1803-Winterhalbjahr		1251	22
77	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1804	Sommerhalbjahr	1804-Sommerhalbjahr		1273	23
78	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1804	Winterhalbjahr	1804-Winterhalbjahr		1296	20
79	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1805	Sommerhalbjahr	1805-Sommerhalbjahr		1316	19
80	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1805	Winterhalbjahr	1805-Winterhalbjahr		1335	18
81	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1806	Sommerhalbjahr	1806-Sommerhalbjahr		1353	18
82	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1806	Winterhalbjahr	1806-Winterhalbjahr		1371	19
83	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1807	Sommerhalbjahr	1807-Sommerhalbjahr		1390	18
84	Catalogus lectionum 1774 - 1849 (ab 1830 Catalogus Scholarum)	1801 - 1820	1807 / 1908	Winterhalbjahr	1807 / 1908-Winterhalbjahr		1408	19
